# Chickpea Handbook Data,,
#molarity,time,mass
0,0,10.291
0,360,11.3
0,737,11.7052
0,1080,11.9095
0,1445,12.0391
0,1802,12.189
0,2156,12.3511
0,2523,12.5137
0,2880,12.6935
0,3241,12.8442
0,3600,13.0823
2,0,11.4859
2,360,12.4738
2,720,13.0876
2,1097,13.2691
2,1440,13.3902
2,1815,13.7441
2,2160,13.8959
2,2520,14.1106
2,2880,14.1827
2,3232,14.3223
2,3600,14.4595
3,0,10.0268
3,360,10.3665
3,720,11.1843
3,1091,11.6436
3,1440,11.8452
3,1803,12.1999
3,2165,12.4595
3,2523,12.7424
3,2880,12.9239
3,3247,13.1396
3,3600,13.3908
